GEOID,total_commuters
11001000101,570
11001000102,"8,145"
11001000201,"1,985"
11001000202,"11,930"
11001000300,"1,700"
11001000400,"3,320"
11001000501,"2,415"
11001000502,"1,125"
11001000600,"1,920"
11001000702,405
11001000703,465
11001000704,630
11001000802,"1,135"
11001000803,"1,115"
11001000804,"1,290"
11001000902,"1,175"
11001000903,"3,145"
11001000904,"3,135"
11001001002,"4,235"
11001001003,725
11001001004,"3,445"
11001001100,"4,310"
11001001200,"2,930"
11001001301,"1,000"
11001001303,"1,910"
11001001304,"1,440"
11001001401,"1,165"
11001001402,"1,120"
11001001500,"1,525"
11001001600,"2,205"
11001001702,"1,645"
11001001803,380
11001001804,650
11001001901,"1,220"
11001001902,"1,085"
11001002001,475
11001002002,"1,380"
11001002101,"1,475"
11001002102,805
11001002201,425
11001002202,420
11001002301,555
11001002302,"15,930"
11001002400,"1,160"
11001002501,705
11001002503,"1,055"
11001002504,665
11001002600,460
11001002702,"1,680"
11001002703,515
11001002704,"1,050"
11001002801,970
11001002802,"2,000"
11001002900,"1,020"
11001003000,980
11001003100,"1,160"
11001003200,765
11001003301,"1,875"
11001003302,540
11001003400,"5,560"
11001003500,"1,330"
11001003600,835
11001003701,490
11001003702,410
11001003801,685
11001003802,"1,325"
11001003901,920
11001003902,485
11001004001,"1,435"
11001004002,"1,635"
11001004100,"2,480"
11001004201,"1,280"
11001004202,"2,145"
11001004300,"2,220"
11001004401,"1,525"
11001004402,"1,460"
11001004600,"1,565"
11001004702,"10,830"
11001004703,"1,170"
11001004704,500
11001004801,"1,580"
11001004802,"2,430"
11001004901,"1,405"
11001004902,"2,150"
11001005001,"1,205"
11001005003,"1,280"
11001005004,990
11001005202,"1,520"
11001005203,"1,070"
11001005302,"1,000"
11001005303,"3,475"
11001005501,"4,340"
11001005502,"3,490"
11001005503,"3,360"
11001005601,"4,880"
11001005602,"5,230"
11001005801,"14,150"
11001005802,"44,825"
11001005900,"21,100"
11001006400,"3,190"
11001006500,"2,915"
11001006600,"1,875"
11001006700,"1,635"
11001006801,595
11001006802,775
11001006804,"2,000"
11001006900,"1,785"
11001007000,"3,105"
11001007100,"2,165"
11001007201,"11,095"
11001007202,"3,585"
11001007203,"6,645"
11001007301,"11,065"
11001007304,"1,430"
11001007401,800
11001007403,210
11001007404,245
11001007406,130
11001007407,425
11001007408,110
11001007409,100
11001007502,550
11001007503,"1,555"
11001007504,195
11001007601,775
11001007603,905
11001007604,615
11001007605,160
11001007703,700
11001007707,155
11001007708,180
11001007709,365
11001007803,"1,065"
11001007804,530
11001007806,300
11001007807,200
11001007808,775
11001007809,675
11001007901,635
11001007903,585
11001008001,885
11001008002,"1,490"
11001008100,880
11001008200,"3,835"
11001008301,"2,395"
11001008302,"1,375"
11001008402,"1,005"
11001008410,"1,145"
11001008701,"1,740"
11001008702,"1,095"
11001008802,830
11001008803,"3,540"
11001008804,"1,565"
11001008903,770
11001008904,"1,085"
11001009000,865
11001009102,"4,475"
11001009201,"1,835"
11001009203,675
11001009204,610
11001009301,"1,440"
11001009302,820
11001009400,"1,955"
11001009503,785
11001009504,"2,825"
11001009505,"1,595"
11001009507,170
11001009508,"1,265"
11001009509,755
11001009510,425
11001009511,"2,635"
11001009601,335
11001009602,895
11001009603,960
11001009604,425
11001009700,170
11001009801,170
11001009802,10
11001009803,325
11001009804,415
11001009807,"1,130"
11001009810,75
11001009811,375
11001009901,525
11001009902,530
11001009903,425
11001009904,365
11001009905,235
11001009906,90
11001009907,250
11001010100,"40,325"
11001010201,935
11001010202,"26,740"
11001010300,"1,140"
11001010400,"3,960"
11001010500,"10,550"
11001010601,"6,525"
11001010602,"2,730"
11001010603,"18,900"
11001010700,"68,135"
11001010800,"26,885"
11001010900,"1,575"
11001011001,"1,295"
11001011002,"1,875"
11001011100,"4,915"
1100198000,"61,155"